car,ship,(2.197012236388376+3.805235870244581e-05j),(0.7093170037640277-5.354889745942392e-05j),(0.6147453910368843+7.718024549905401e-07j)
car,truck,(2.3088395537932738+5.4068061728599884e-05j),(0.6954530356768163+1.3878760603042363e-05j),(0.6341013581935628-1.431730236091661e-05j)
bird,bird,(1.3936993561111976e-05+0.3893386800947596j),(0.00034285785173996834+0.07953268696279348j),(0.31139978954462816+2.3032978036845917e-06j)
bird,cat,(2.1620391038830507-2.8256886820095293e-05j),(0.6009989185893497+8.601685333868523e-05j),(0.5930376452764711-2.4388090281901987e-06j)
bird,deer,(2.294058884105259-2.951166306541928e-07j),(0.7248134739315236+7.212514387062725e-07j),(0.5706034122030529+2.5292174930375372e-06j)
bird,dog,(2.1951623688750317-2.2757148699217987e-05j),(0.6266692777761462+2.6871731939759803e-05j),(0.5923259984344557-9.992897218684048e-07j)
bird,frog,(2.212905284262449+1.6121557902608236e-05j),(0.7239797505818208+1.3150467260639831e-05j),(0.6288599292571532+1.9138893655150005e-05j)
bird,horse,(2.2672186022452254-0.000119349636935854j),(0.71108257182701-4.387868582719925e-06j),(0.626227183227252+3.273549322981957e-05j)
bird,ship,(2.164230023524462-2.5556323381207216e-05j),(0.7084956400647175-1.1472117140449243e-05j),(0.5920362149367607+1.8069762926259104e-05j)
bird,truck,(2.3609016147779327+3.6890524451436835e-05j),(0.7245063301581641+1.5131265736084836e-05j),(0.6331857165141587+4.259600608144625e-06j)
cat,cat,(0.000712957793116133+0.38471800512293924j),(0.00021115225869904988-0.06946415495912252j),(0.36379585286473815-5.91745489034161e-05j)
cat,deer,(2.2879811651969146-5.634834245319669e-07j),(0.6589533595734387-1.3190457860626073e-07j),(0.5490626328173068-3.1440101247476978e-06j)
cat,dog,(2.0414804615547792+5.162782277416815e-05j),(0.5439119440757648+2.1767967608577552e-05j),(0.5686004890088997-1.0688415634682643e-05j)
cat,frog,(2.0839113270526295-0.00015093484608955313j),(0.6820443826953654-2.8205163442791634e-05j),(0.6074698844878063-4.933004900293225e-06j)
cat,horse,(2.2002000181807313+0.00012820811242302398j),(0.6719463922831411-2.490116688362432e-05j),(0.6127640864039113+1.6466330918663427e-05j)
cat,ship,(2.1067173792610814-1.639564305311268e-05j),(0.6767239423003769+5.433709971624279e-05j),(0.5881155127945464+2.1481868057868106e-05j)
