cat,dog,(30.830254938729123-0.03650934256109235j),(34.942256248468084-0.006227426171812314j),(8.174166770553004-0.007171686540394953j)
cat,frog,(32.63253074071785+0.015939270963385932j),(63.08822946964729+0.011000213358834306j),(29.73132562670021+0.008296366558899494j)
cat,horse,(35.373355087118235+0.011531234357125796j),(32.30497021875458+0.01757139244043673j),(6.637990939102764-0.009002384761151365j)
cat,ship,(74.15239542795251-0.007215392072852956j),(111.76705221605032-0.007096422314388057j),(37.42182047741191+0.003696857102967464j)
cat,truck,(60.88743975726457+0.02253107680626165j),(65.21547341078725-0.0010783801288751294j),(13.753590300233489+0.0077242987775718915j)
deer,deer,(0.0009326423097431075+0.5697694663358258j),(0.0005143000944329207-0.1324254604822654j),(0.000295108379816093-0.029864599487687663j)
deer,dog,(117.57210928681101+0.0002959555320485414j),(96.36776529508815-0.00010568283540403582j),(37.412147454508286+1.5994553409163923e-06j)
deer,frog,(113.64326585650704-0.00013197924083610375j),(124.32501126933691+7.294112121096466e-06j),(60.36706364586308+1.3569499082641307e-05j)
deer,horse,(101.01184970562375+0.00034199469426649025j),(88.54709360403162-0.00012852934945102956j),(34.74341508631468-0.00015803001979294536j)
deer,ship,(137.8607492061007-7.428415987103493e-05j),(161.60784633715872+0.0001213128987804032j),(67.1042273730541-4.315203497104674e-05j)
deer,truck,(132.75712093387213+9.034198372428125e-05j),(113.27770814715332-6.675943706460323e-05j),(41.032005524283186-8.506500754697876e-06j)
dog,dog,(0.09711474387053569-17.08097078548012j),(0.1438558470326499+3.6716600060050104j),(0.023866566207193227+0.8688932532582955j)
dog,frog,(32.29734975793785-0.024088836427256944j),(46.74834155433059-0.008627688779781947j),(24.368406347448015+0.0013498911399875818j)
dog,horse,(39.09160977738763-0.07847329117992877j),(35.53967613351554+0.02323549251448302j),(7.73800635296949+0.014542313596547157j)
dog,ship,(78.4400344679106-0.027423514091768006j),(100.71767749112709-0.008477559366951692j),(32.72340028181474-0.009641546350313387j)
dog,truck,(68.02423956925296-0.003037520652511008j),(59.73654050273054+0.0021248047254827105j),(11.044642747008282+0.00943611307795681j)
frog,frog,(0.004197102843913905+16.979533042610363j),(0.1474106685112483+6.612850336344979j),(0.3351859697303524+1.075251874161245j)
frog,horse,(37.41886581814047+0.006739236109679504j),(53.19414560544063-0.019037332347466376j),(27.066834757594446-0.00024272362628050985j)
frog,ship,(81.41927498633123+0.005633382364381282j),(80.31330225292862+0.01344265070126599j),(12.438623991945033+0.009938320369392491j)
frog,truck,(68.35481858900323+0.002925486148365998j),(59.22443959524019-0.009240670485092336j),(22.20259855778505-0.013241949027283732j)
horse,horse,(0.007628137029907956+14.265070833304657j),(0.2622429414406982+3.9624606766744863j),(0.06996687632151945+0.43692742327382456j)
horse,ship,(74.25207015803919+0.018500316569067313j),(95.66222675627569+0.02908353278077046j),(34.26150542118595-0.00018755574450899208j)
horse,truck,(62.582911738883325-0.00845733915018829j),(55.51857120389161-0.0056904260851032675j),(10.23721858756617-0.009817565609034587j)
ship,ship,(0.025057912203701575+21.124899669314946j),(0.08519818063712509+7.757112387033019j),(0.6443315069613386-0.03399408054213738j)
ship,truck,(42.139141459330816-0.03277510192907376j),(76.25218535679818-0.011559458233364501j),(29.34892108437768-0.00032345666466395453j)
truck,truck,(0.0636048796344247-19.96262122146342j),(0.27070184256135793+4.731612655907374j),(0.10806084305352061+0.606797734731374j)
